x(m)	y(m)	Flux(W/m2)
0.210015	0.3	37840.7
0.212215	0.3	42528.9
0.214414	0.3	25450.4
0.216613	0.3	22101.6
0.218812	0.3	15404.2
0.00109956	0.42	11720.6
0.00329867	0.42	9041.58
0.00549779	0.42	5357.97
0.0076969	0.42	1339.49
0.00989602	0.42	334.873
0.0120951	0.42	2009.24
0.0142942	0.42	1339.49
0.0164934	0.42	334.873
0.0186925	0.42	334.873
0.0208916	0.42	669.746
0.0230907	0.42	669.746
0.0252898	0.42	1339.49
0.0274889	0.42	334.873
0.0296881	0.42	669.746
0.0318872	0.42	669.746
0.0340863	0.42	1004.62
0.0362854	0.42	1339.49
0.0384845	0.42	1004.62
0.0406836	0.42	1004.62
0.0428827	0.42	1004.62
0.0450819	0.42	334.873
0.047281	0.42	1004.62
0.0494801	0.42	1004.62
0.0516792	0.42	334.873
0.0538783	0.42	669.746
0.0560774	0.42	1339.49
0.0582765	0.42	1339.49
0.0604757	0.42	669.746
0.0626748	0.42	1674.37
0.0648739	0.42	2344.11
0.067073	0.42	334.873
0.0692721	0.42	334.873
0.0714712	0.42	1339.49
0.0736704	0.42	669.746
0.0758695	0.42	1004.62
0.0780686	0.42	1004.62
0.0802677	0.42	1004.62
0.0824668	0.42	1339.49
0.0846659	0.42	334.873
0.086865	0.42	669.746
0.0890642	0.42	334.873
0.0912633	0.42	669.746
0.0934624	0.42	334.873
0.0956615	0.42	334.873
0.0978606	0.42	1004.62
0.10006	0.42	1004.62
0.102259	0.42	3683.6
0.104458	0.42	3013.86
0.106657	0.42	6697.46
0.108856	0.42	12055.4
0.111055	0.42	19087.8
0.113254	0.42	18418
0.115454	0.42	26120.1
0.117653	0.42	39849.9
0.119852	0.42	43868.4
0.122051	0.42	55254.1
0.12425	0.42	56593.6
0.126449	0.42	60612
0.128648	0.42	56928.4
0.130847	0.42	48891.5
0.133046	0.42	63291
0.135246	0.42	56593.6
0.137445	0.42	56593.6
0.139644	0.42	54249.5
0.141843	0.42	43198.6
0.144042	0.42	46882.2
0.146241	0.42	51905.3
0.14844	0.42	51905.3
0.150639	0.42	49561.2
0.152838	0.42	44873
0.155038	0.42	42528.9
0.157237	0.42	40519.7
0.159436	0.42	43868.4
0.161635	0.42	42194
0.163834	0.42	43198.6
0.166033	0.42	35161.7
0.168232	0.42	41189.4
0.170431	0.42	43533.5
0.172631	0.42	44538.1
0.17483	0.42	41859.1
0.177029	0.42	46212.5
0.179228	0.42	41524.3
0.181427	0.42	44203.3
0.183626	0.42	53914.6
0.185825	0.42	48556.6
0.188024	0.42	56928.4
0.190223	0.42	53914.6
0.192423	0.42	52240.2
0.194622	0.42	56928.4
0.196821	0.42	52240.2
0.19902	0.42	57263.3
0.201219	0.42	59607.4
0.203418	0.42	59942.3
0.205617	0.42	54919.2
0.207816	0.42	44203.3
0.210015	0.42	51905.3
0.212215	0.42	31813
0.214414	0.42	25115.5
0.216613	0.42	16743.7
0.218812	0.42	19422.6
0.00109956	0.54	11050.8
0.00329867	0.54	5357.97
0.00549779	0.54	6027.72
0.0076969	0.54	3348.73
0.00989602	0.54	3013.86
0.0120951	0.54	1004.62
0.0142942	0.54	1004.62
0.0164934	0.54	1339.49
0.0186925	0.54	669.746
0.0208916	0.54	669.746
0.0230907	0.54	669.746
0.0252898	0.54	669.746
0.0274889	0.54	1004.62
0.0296881	0.54	669.746
0.0318872	0.54	1674.37
0.0340863	0.54	1339.49
0.0362854	0.54	0
0.0384845	0.54	1004.62
0.0406836	0.54	669.746
0.0428827	0.54	1004.62
0.0450819	0.54	669.746
0.047281	0.54	334.873
0.0494801	0.54	1339.49
0.0516792	0.54	1004.62
0.0538783	0.54	669.746
0.0560774	0.54	334.873
0.0582765	0.54	669.746
0.0604757	0.54	334.873
0.0626748	0.54	1339.49
0.0648739	0.54	1674.37
0.067073	0.54	1004.62
0.0692721	0.54	1004.62
0.0714712	0.54	1004.62
0.0736704	0.54	334.873
0.0758695	0.54	1004.62
0.0780686	0.54	669.746
0.0802677	0.54	669.746
0.0824668	0.54	1004.62
0.0846659	0.54	334.873
0.086865	0.54	669.746
0.0890642	0.54	2344.11
0.0912633	0.54	669.746
0.0934624	0.54	1339.49
0.0956615	0.54	669.746
0.0978606	0.54	669.746
0.10006	0.54	1339.49
0.102259	0.54	3013.86
0.104458	0.54	2344.11
0.106657	0.54	7032.34
0.108856	0.54	12055.4
0.111055	0.54	13729.8
0.113254	0.54	22771.4
0.115454	0.54	29803.7
0.117653	0.54	36501.2
0.119852	0.54	33822.2
0.122051	0.54	47886.9
0.12425	0.54	54584.3
